label,selling_price,age,sell_speed,mileage,avg_mileage
1,82000.0,27.0,9,3.65,1.3086935166994105
1,90000.0,49.0,10,9.93,1.2576162387231091
0,55000.0,48.0,88,7.2,1.4681564245810057
1,72800.0,41.0,49,4.6,1.4650959860383943
0,64800.0,31.0,83,6.3,0.9088932806324108
0,57000.0,22.0,192,4.11,1.2459717607973422
1,113000.0,44.0,139,7.6,1.1382847763643824
0,55404.0,41.0,25,6.76,1.7376056338028167
1,97200.0,24.0,34,4.6,1.738095238095238
1,92000.0,53.0,76,8.23,1.4169575471698113
1,104000.0,31.0,34,2.23,1.1336350974930365
1,118000.0,29.0,95,7.6,1.2345349354695148
0,41100.0,41.0,26,8.46,1.2639787146950472
0,63000.0,25.0,31,8.87,1.7946507760532149
0,59400.0,28.0,76,5.33,0.9578778926637124
1,103500.0,32.0,11,7.1,1.1584711667411711
1,75000.0,32.0,28,2.28,0.6657599999999999
0,40608.0,31.0,9,11.49,1.4357583019513864
1,91800.0,28.0,106,6.82,1.3647478070175438
0,50000.0,31.0,10,7.6,1.1645675902602854
0,45000.0,33.0,105,10.67,1.576740890688259
1,72000.0,35.0,191,11.61,1.4321223386279147
0,66000.0,32.0,26,7.17,1.5040517241379312
0,48000.0,35.0,62,7.99,1.630156512017887
1,116000.0,42.0,121,7.57,1.4176757311441766
1,131760.0,31.0,36,8.16,1.2072963113092825
0,58320.0,58.0,137,9.62,1.1653833388649186
0,63000.0,36.0,9,6.2,1.0520688052068805
1,93000.0,34.0,44,9.82,1.4023082942097027
0,70000.0,33.0,79,4.49,1.8968171296296297
1,88200.0,27.0,10,9.38,1.2253758052970654
1,128300.0,27.0,12,3.23,1.1581041257367386
0,67000.0,45.0,132,7.7,2.395993179880648
1,84000.0,25.0,96,5.8,2.2985884907709013
1,120000.0,29.0,32,6.06,1.6168859649122806
0,48600.0,38.0,12,5.8,1.405710491367862
0,58320.0,56.0,20,6.57,1.0753587443946189
0,50760.0,39.0,43,6.98,0.7981516290726818
